544		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,0,0,255
0,0,0,255
255,184,0,255
0,0,0,255
222,222,222,255
0,0,0,255
222,104,0,255
0,0,0,255
0,184,0,255
0,0,0,255
184,33,0,255
0,0,0,255
222,222,0,255
0,0,0,255
151,0,0,255
0,0,0,255
0,0,151,255
0,0,0,255
104,104,71,255
0,0,0,255
255,0,0,255
0,0,0,255
151,151,151,255
0,0,0,255
71,71,71,255
0,0,0,255
71,104,71,255
0,0,0,255
184,151,71,255
0,0,0,255
0,0,0,255
0,0,0,255
255,0,0,255
222,222,222,255
0,104,222,255
0,0,0,255
255,0,0,255
222,222,0,255
222,222,222,255
0,0,0,255
255,0,0,255
0,184,0,255
222,222,222,255
0,0,0,255
0,0,0,255
222,222,0,255
222,222,222,255
0,0,0,255
184,151,71,255
151,71,0,255
71,33,0,255
0,0,0,255
255,0,0,255
222,222,0,255
255,104,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,0,0,255
222,222,0,255
0,184,222,255
0,0,0,255
255,0,0,255
0,0,0,255
222,222,222,255
0,0,0,255
255,0,0,255
0,0,0,255
222,222,222,255
0,0,0,255
0,0,0,255
0,184,222,255
0,0,0,255
0,0,0,255
222,222,0,255
255,104,0,255
255,104,222,255
0,0,0,255
222,222,222,255
0,184,0,255
222,222,222,255
0,0,0,255
255,0,0,255
0,184,0,255
184,151,71,255
0,0,0,255
255,0,0,255
0,184,0,255
184,151,71,255
0,0,0,255
0,0,0,255
0,184,0,255
222,222,222,255
0,0,0,255
222,222,222,255
0,184,0,255
184,151,71,255
0,0,0,255
151,0,151,255
255,104,222,255
0,71,222,255
0,0,0,255
222,222,222,255
184,151,71,255
255,0,0,255
0,0,0,255
255,0,0,255
222,222,222,255
0,184,0,255
0,0,0,255
151,71,0,255
255,104,0,255
255,184,0,255
0,0,0,255
222,222,0,255
255,0,0,255
0,71,222,255
0,0,0,255
222,222,0,255
0,184,0,255
151,71,0,255
0,0,0,255
222,222,0,255
0,184,0,255
255,104,222,255
0,0,0,255
222,222,0,255
0,184,0,255
255,0,0,255
0,0,0,255
255,104,0,255
0,184,0,255
222,222,222,255
0,0,0,255
0,71,222,255
222,222,222,255
255,0,0,255
0,0,0,255
0,71,222,255
222,222,222,255
0,184,0,255
0,0,0,255
0,184,222,255
0,184,0,255
255,104,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,222,0,255
0,0,151,255
255,184,0,255
0,0,0,255
222,222,222,255
0,0,151,255
255,0,0,255
222,222,0,255
255,184,0,255
255,184,0,255
222,104,0,255
255,184,0,255
222,104,0,255
222,104,0,255
184,33,0,255
222,104,0,255
184,33,0,255
184,33,0,255
151,0,0,255
222,222,222,255
222,222,0,255
0,0,151,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
104,104,71,255
0,0,151,255
151,151,151,255
0,0,0,255
222,222,222,255
0,0,151,255
255,0,0,255
104,104,71,255
151,151,151,255
71,71,71,255
184,151,71,255
71,71,71,255
184,151,71,255
104,104,71,255
255,184,0,255
104,104,71,255
255,184,0,255
151,0,0,255
222,104,0,255
222,222,222,255
222,222,0,255
0,0,151,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
104,104,71,255
0,0,151,255
151,151,151,255
0,0,0,255
222,222,222,255
0,0,151,255
255,0,0,255
104,104,71,255
151,151,151,255
71,71,71,255
104,104,71,255
71,71,71,255
104,104,71,255
0,0,0,255
71,104,71,255
0,0,0,255
71,104,71,255
104,104,71,255
71,71,71,255
222,222,222,255
222,222,0,255
0,0,151,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
104,104,71,255
0,0,151,255
184,151,71,255
0,0,0,255
222,222,222,255
0,0,151,255
255,0,0,255
104,104,71,255
184,151,71,255
184,33,0,255
184,151,71,255
184,33,0,255
184,151,71,255
71,71,71,255
184,151,71,255
71,71,71,255
184,151,71,255
151,0,0,255
184,151,71,255
222,222,222,255
222,222,0,255
0,0,151,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
